image concentration replicate x y semiMajorAxis semiMinorAxis rotationAngle
IMG_2966_con_0.jpeg 0 1 82 160 23 23 0
IMG_2966_con_0.jpeg 0 2 150 129 23 23 0
IMG_2966_con_0.jpeg 0 3 219 161 23 23 0
IMG_2967_con_0.jpeg 0 1 118 227 33 33 0
IMG_2967_con_0.jpeg 0 2 216 181 33 33 0
IMG_2967_con_0.jpeg 0 3 313 226 33 33 0
IMG_2968_con_0.jpeg 0 1 117 227 33 33 0
IMG_2968_con_0.jpeg 0 2 214 183 33 33 0
IMG_2968_con_0.jpeg 0 3 313 227 33 33 0
IMG_2969_con_0.jpeg 0 1 83 160 23 23 0
IMG_2969_con_0.jpeg 0 2 151 129 23 23 0
IMG_2969_con_0.jpeg 0 3 220 161 23 23 0
IMG_2970_con_0.jpeg 0 1 82 160 23 23 0
IMG_2970_con_0.jpeg 0 2 150 130 23 23 0
IMG_2970_con_0.jpeg 0 3 220 161 23 23 0
IMG_2971_con_0.jpeg 0 1 119 225 33 33 0
IMG_2971_con_0.jpeg 0 2 215 179 33 33 0
IMG_2971_con_0.jpeg 0 3 313 225 33 33 0
IMG_2972_con_0.jpeg 0 1 84 159 23 23 0
IMG_2972_con_0.jpeg 0 2 152 127 23 23 0
IMG_2972_con_0.jpeg 0 3 221 159 23 23 0
IMG_2966_con_1.jpeg 1 1 89 160 23 23 0
IMG_2966_con_1.jpeg 1 2 161 132 23 23 0
IMG_2966_con_1.jpeg 1 3 229 162 23 23 0
IMG_2967_con_1.jpeg 1 1 127 226 33 33 0
IMG_2967_con_1.jpeg 1 2 227 184 33 33 0
IMG_2967_con_1.jpeg 1 3 323 227 33 33 0
IMG_2968_con_1.jpeg 1 1 124 231 33 33 0
IMG_2968_con_1.jpeg 1 2 226 189 33 33 0
IMG_2968_con_1.jpeg 1 3 324 234 33 33 0
IMG_2969_con_1.jpeg 1 1 87 160 23 23 0
IMG_2969_con_1.jpeg 1 2 158 129 23 23 0
