image concentration x1 y1 x2 y2 x3 y3 x4 y4
IMG_0957 0 12 105 314 95 322 428 23 437
IMG_0957 1 374 95 674 83 684 412 380 426
IMG_0957 2 730 81 1028 71 1038 398 742 413
IMG_0957 3 1084 71 1375 59 1388 382 1094 394
IMG_0957 4 1429 63 1727 41 1740 369 1440 384
IMG_0957 5 1782 40 2082 28 2101 354 1799 368
IMG_0957 6 2141 22 2422 8 2434 334 2157 352
IMG_0958 0 7 108 309 98 319 434 15 441
IMG_0958 1 369 100 669 88 680 420 377 434
IMG_0958 2 723 88 1021 78 1034 404 733 419
IMG_0958 3 1074 75 1366 62 1386 390 1089 403
IMG_0958 4 1421 62 1723 45 1738 376 1435 387
IMG_0958 5 1778 41 2079 29 2097 360 1793 374
IMG_0958 6 2139 27 2420 13 2431 342 2153 359
IMG_0959 0 8 111 311 101 321 438 16 445
IMG_0959 1 370 104 670 91 681 424 378 438
IMG_0959 2 728 88 1026 78 1039 404 737 419
IMG_0959 3 1078 76 1370 64 1390 392 1093 404
IMG_0959 4 1423 65 1725 48 1740 379 1436 390
IMG_0959 5 1781 43 2082 31 2100 362 1796 376
IMG_0959 6 2142 29 2423 15 2434 345 2155 361
IMG_0960 0 5 117 307 106 317 443 13 450
IMG_0960 1 368 106 668 93 679 426 376 440
IMG_0960 2 725 91 1023 80 1036 407 735 421
IMG_0960 3 1077 80 1369 67 1389 396 1092 408
IMG_0960 4 1422 71 1724 53 1739 384 1435 396
IMG_0960 5 1777 47 2078 35 2096 366 1791 380
IMG_0960 6 2139 32 2420 18 2431 348 2153 364
IMG_0961 0 5 117 307 106 317 443 13 450
IMG_0961 1 365 107 665 94 676 427 373 441
IMG_0961 2 727 93 1025 83 1038 410 737 424
IMG_0961 3 1079 81 1371 69 1391 397 1094 410
IMG_0961 4 1422 71 1724 53 1739 384 1435 396
IMG_0961 5 1782 49 2084 37 2102 368 1797 382
IMG_0961 6 2144 35 2425 21 2435 350 2157 366
IMG_0962 0 2 120 305 109 315 446 10 453
IMG_0962 1 364 110 665 98 675 430 372 444
IMG_0962 2 723 98 1020 88 1033 415 732 429
IMG_0962 3 1076 84 1368 72 1388 400 1091 413
IMG_0962 4 1422 74 1724 56 1739 387 1435 399
IMG_0962 5 1780 54 2081 42 2099 373 1795 387
IMG_0962 6 2142 39 2423 25 2434 354 2155 370
IMG_0963 0 4 122 306 112 316 448 12 455
IMG_0963 1 366 114 667 102 677 434 375 448
IMG_0963 2 723 100 1020 90 1033 417 732 431
IMG_0963 3 1077 87 1369 74 1389 402 1092 415
IMG_0963 4 1422 74 1724 58 1739 387 1435 399
IMG_0963 5 1780 54 2081 42 2099 373 1795 387
IMG_0963 6 2142 39 2423 25 2434 354 2155 370
