image concentration x1 y1 x2 y2 x3 y3 x4 y4 rotation
IMG_1497 0 1210.955259 3508.038128 1670.610529 3522.005553 1660.452402 3946.107377 1204.606429 3934.679483 90.000000
IMG_1497 1 1210.955259 2978.545730 1670.610529 2986.164326 1669.340763 3406.456852 1209.685493 3398.838257 90.000000
IMG_1497 2 1213.494791 2446.513802 1676.959359 2451.592865 1671.880295 2876.964455 1212.225025 2869.345860 90.000000
IMG_1497 3 1221.113387 1924.640000 1687.117487 1927.179532 1678.229125 2344.932526 1214.764557 2346.202292 90.000000
IMG_1497 4 1230.001748 1401.496433 1690.926784 1400.226667 1685.847721 1819.249427 1221.113387 1819.249427 90.000000
IMG_1497 5 1243.969174 893.590057 1694.736082 884.701695 1690.926784 1299.915158 1232.541280 1301.184923 90.000000
IMG_1497 6 1255.397067 378.065085 1704.894210 386.953447 1701.084912 786.929718 1245.238939 789.469250 90.000000
IMG_1498 0 1634.836324 3171.861536 1992.502039 3182.415606 2026.509599 3446.267363 1679.397954 3434.540618 90.000000
IMG_1498 1 1577.375275 2824.749890 1953.803782 2827.095239 1991.329365 3110.882463 1626.627603 3103.846416 90.000000
IMG_1498 2 1512.878178 2438.939988 1910.414826 2443.630686 1947.940409 2747.353375 1562.130506 2749.698724 90.000000
IMG_1498 3 1442.517710 2023.813223 1855.299126 2024.985897 1902.206105 2363.888821 1494.115387 2362.716147 90.000000
IMG_1498 4 1367.466543 1567.642851 1801.356100 1564.124828 1849.435753 1937.035312 1428.445616 1937.035312 90.000000
IMG_1498 5 1291.242702 1069.256199 1741.549701 1065.738175 1795.492727 1470.310870 1358.085148 1475.001568 90.000000
IMG_1498 6 1196.842407 520.461182 1694.857178 505.855438 1734.513655 967.233519 1263.458984 981.437134 90.000000
IMG_1499 0 1313.966897 3133.526017 1729.994681 3162.347219 1659.821320 3579.628099 1230.009483 3547.047610 90.000000
IMG_1499 1 1405.442886 2667.374404 1811.445904 2689.930127 1747.538022 3070.871231 1330.257142 3042.050029 90.000000
IMG_1499 2 1495.665779 2235.056375 1887.884744 2260.118290 1828.989244 2602.213426 1425.492418 2582.163894 90.000000
IMG_1499 3 1577.117002 1837.825027 1955.551914 1862.886942 1902.921893 2176.160875 1510.702928 2157.364439 90.000000
IMG_1499 4 1654.808937 1474.427264 2020.712892 1493.223700 1970.589063 1783.941910 1592.154150 1767.651666 90.000000
IMG_1499 5 1728.741586 1134.838319 2074.596009 1154.887851 2031.990754 1420.544147 1668.592990 1405.506998 90.000000
IMG_1499 6 1795.155660 825.323672 2130.985317 839.107726 2092.139349 1085.967585 1743.778734 1075.942820 90.000000
IMG_1500 0 1250.334865 3444.789517 1701.859399 3462.397716 1693.055299 3883.736766 1245.303951 3867.386295 90.000000
IMG_1500 1 1256.623507 2924.089915 1705.632584 2934.151743 1706.890313 3354.233064 1252.850322 3342.913508 90.000000
IMG_1500 2 1265.427607 2400.874856 1718.209869 2407.163498 1713.178955 2833.533462 1257.881236 2822.213906 90.000000
IMG_1500 3 1275.489435 1881.432982 1728.271697 1886.463896 1723.240783 2305.287489 1267.943064 2298.998847 90.000000
IMG_1500 4 1289.324449 1364.506566 1739.591254 1370.795208 1732.044883 1788.361073 1275.489435 1780.814702 90.000000
IMG_1500 5 1305.674919 853.868792 1752.168539 863.930620 1742.106711 1272.692385 1291.839906 1270.176928 90.000000
IMG_1500 6 1324.540847 353.292846 1766.003553 355.808303 1757.199453 764.570068 1310.705833 762.054611 90.000000
IMG_1501 0 1959.554265 3119.366851 2303.705993 3116.863929 2338.746896 3354.641487 2010.864159 3348.384183 90.000000
IMG_1501 1 1893.226841 2805.250183 2253.647560 2805.250183 2296.197228 3050.536505 1947.039657 3055.542349 90.000000
IMG_1501 2 1821.893574 2462.349915 2199.834744 2452.338229 2246.138795 2728.911072 1879.460772 2736.419837 90.000000
IMG_1501 3 1740.548620 2078.151440 2143.956787 2067.210693 2189.823058 2377.250579 1804.373122 2384.759344 90.000000
IMG_1501 4 1655.449283 1661.414984 2072.185740 1648.900376 2129.752938 1988.046261 1721.776707 2000.560869 90.000000
IMG_1501 5 1560.338260 1195.871555 1998.349551 1180.854025 2059.671131 1558.795196 1635.425910 1570.058343 90.000000
IMG_1501 6 1458.969933 676.515311 1918.256058 653.989016 1984.583482 1076.982776 1542.817809 1094.503228 90.000000
IMG_1502 0 1656.160012 3072.898123 2083.947101 3093.161722 2019.779038 3507.439745 1593.117704 3474.792836 90.000000
IMG_1502 1 1737.214408 2611.338368 2151.492431 2624.847434 2094.078901 3003.101282 1674.172100 2980.586172 90.000000
IMG_1502 2 1814.891537 2185.802790 2210.031717 2200.437611 2157.121209 2542.667283 1755.226496 2528.032461 90.000000
IMG_1502 3 1883.562622 1792.914121 2260.690714 1814.303475 2216.786250 2121.634726 1832.903625 2108.125660 90.000000
IMG_1502 4 1947.730686 1431.546606 2307.972445 1448.432938 2269.696758 1740.003612 1897.071688 1724.243035 90.000000
IMG_1502 5 2004.018461 1103.951756 2354.128421 1112.957800 2318.104245 1384.264875 1958.988241 1367.378542 90.000000
IMG_1502 6 2058.054725 793.243238 2393.529863 803.375037 2362.008709 1053.292758 2017.527527 1039.783692 90.000000
IMG_1503 0 1408.041642 2224.465988 1647.533140 2226.893267 1665.333184 2387.093662 1437.978079 2378.193640 90.000000
IMG_1503 1 1366.777904 2014.910927 1617.596703 2014.910927 1641.869490 2184.011343 1399.141620 2184.011343 90.000000
IMG_1503 2 1321.255005 1781.826660 1586.851173 1778.655800 1611.123960 1967.174446 1357.068789 1967.983539 90.000000
IMG_1503 3 1270.495848 1526.218815 1551.251085 1522.173350 1579.569337 1731.728411 1310.950493 1733.346597 90.000000
IMG_1503 4 1218.713903 1241.418113 1512.414626 1237.372649 1545.587435 1470.391404 1261.595826 1472.009590 90.000000
IMG_1503 5 1158.031935 922.635510 1466.296330 920.208231 1502.705511 1180.736146 1207.386602 1181.545239 90.000000
IMG_1503 6 1094.922689 569.871005 1415.323478 560.161890 1454.159937 853.053521 1145.895542 857.098985 90.000000
IMG_1504 0 1406.960381 3503.800712 1868.138317 3522.857651 1852.892765 3958.626335 1392.985292 3929.405694 90.000000
IMG_1504 1 1427.287783 2972.747331 1888.465719 2991.804270 1874.490630 3423.761566 1415.853619 3393.270463 90.000000
IMG_1504 2 1448.885648 2439.153025 1915.145434 2460.750890 1899.899882 2887.626335 1429.828708 2866.028470 90.000000
IMG_1504 3 1471.753975 1909.370107 1941.825149 1932.238434 1921.497747 2355.302491 1453.967498 2332.434164 90.000000
IMG_1504 4 1497.163228 1387.209964 1964.693477 1403.725979 1948.177462 1828.060498 1478.106288 1805.192171 90.000000
IMG_1504 5 1525.113406 867.590747 1988.832267 880.295374 1969.775327 1303.359431 1503.515541 1283.032028 90.000000
IMG_1504 6 1553.063583 354.323843 2018.052907 372.110320 1997.725505 782.469751 1532.736181 765.953737 90.000000
IMG_1505 0 1039.015451 2259.167388 1350.226600 2281.869721 1287.795184 2571.324468 971.854382 2542.946551 90.000000
IMG_1505 1 1113.743964 1927.145767 1406.982432 1950.794031 1357.794044 2213.762722 1055.096270 2188.222597 90.000000
